OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Singleback Empty 4 Curl Flats,4.84,55,3.99,1.82,3.64,,-0.652
Singleback Normal HB Counter Weak,4.83,1388,,,,0.57,0.626
Singleback Normal FL Post,4.83,463,3.17,2.12,6.78,1.69,0.611
I Formation Normal HB Dive,4.79,1862,,,,0.89,0.167
I Formation 3WR HB Inside Strong,4.74,1655,,,,,0.226
Split Backs Normal Skinny Post Corner,4.72,210,4.74,1.39,0.46,1.39,0.82
Singleback Normal HB Dive Strong,4.71,791,,,,0.12,0.748
I Formation Normal HB Blast,4.64,2206,,,,0.89,-0.034
Split Backs 3 Wide Drag In,4.63,253,3.12,1.57,7.45,0.78,-0.967
Shotgun 4 Wide In and Out,4.58,65,1.19,4.62,7.69,,0.833
Singleback Normal SE Quick Hit,4.5,375,3.45,2.89,1.05,1.58,0.11
I Formation Normal HB Draw,4.48,777,,,,0.12,0.244
Singleback Normal WR Quick In,4.48,479,3.95,2.05,1.02,0.82,0.345
Empty 4 Wide Spread Corner Post,4.45,164,1.8,3.66,6.71,0.61,-0.418
Singleback Normal Quick Slant,4.43,306,4.35,0.64,2.89,2.57,0.179
Strong I Big HB Toss Weak,4.38,46,,,,,0.149
Shotgun 2 RB 3 WR RB Curls,4.35,681,1.96,4.22,3.63,0.87,-1.142
Shotgun 2 RB 3 WR Shotgun Sweep,4.35,1679,,,,0.12,0.25
Singleback Slot Strong TE Slot Curls,4.3,45,2.12,4.35,2.17,,0.129
Split Backs Normal TE Curl,4.3,56,,1.79,,,-0.212
Weak I Big HB Dive Strong,4.29,134,,,,2.21,1.071
Strong I Normal WR Post TE Out,4.28,740,3.39,1.2,5.09,0.54,-0.066
Singleback Slot Strong Post Curls,4.26,106,2.68,3.74,0.93,,0.034
Split Backs 3 Wide RB Curls,4.24,62,0.64,1.59,17.46,1.59,0.757
Strong I Normal HB Dive Strong,4.24,631,,,,0.62,0.209
Shotgun 2 RB 3 WR Shotgun Dive,4.24,915,,,,,0.396
I Formation Power HB Strong Outside,4.22,1308,,,,0.9,0.227
Singleback Slot Strong TE Corner,4.19,127,1.12,3.91,7.81,1.56,0.046
Strong I Big HB Dive Strong,4.13,190,,,,0.52,0.743
I Formation Twin WR HB Toss Weak,4.11,90,,,,,-1.229
