OffensivePlay,OffPlayType,OffPersonnel,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Shotgun Normal HB Delay,Inside Run,1RB/1TE/3WR,1.42,3482,1.71,0.0,0.0,,-1.306
Singleback Slot Strong Off Tackle Strong,Outside Run,1RB/1TE/3WR,1.34,1259,1.61,0.0,0.0,,-0.997
Strong I Big TE Deep Corner,Long Pass,2RB/2TE/1WR,1.33,256,-7.04,3.5,32.68,0.78,-0.705
Singleback Big Waggle Post,Long Pass,1RB/2TE/2WR,1.29,743,-8.32,2.67,41.31,1.34,-1.066
Strong I Normal FB Trap Weak,Outside Run,2RB/1TE/2WR,1.21,560,1.45,0.0,0.0,,-1.433
I Formation Big TE Curl,Medium Pass,2RB/2TE/1WR,1.12,256,-3.74,1.54,20.77,,-1.433
I Formation 3WR WR Post,Long Pass,2RB/3WR,1.08,761,-4.53,4.58,15.42,0.65,-1.898
Weak I Big TE Deep Post,Long Pass,2RB/2TE/1WR,1.07,244,-7.76,4.8,30.8,1.2,-0.841
Singleback Normal All Go,Long Pass,1RB/1TE/3WR,1.05,150,-10.14,3.97,45.03,,-1.641
Shotgun 5 Wide 5 WR Corner Post,Long Pass,5WR,0.66,165,-7.04,4.22,26.51,1.2,-1.718
Shotgun 5 Wide 5 WR Deep Ins,Long Pass,5WR,0.4,197,-8.36,5.58,27.41,1.02,-1.815
Singleback Empty 4 WR Post Corner,Long Pass,1TE/4WR,0.24,141,-8.52,1.4,39.86,0.7,-2.13
I Formation 3WR Deep Corner/Post,Long Pass,2RB/3WR,0.2,227,-9.06,2.19,39.91,,-1.502
Split Backs Normal FB Off Tackle,Inside Run,2RB/1TE/2WR,0.19,162,0.23,0.0,0.0,,-1.434
Singleback Normal Deep Corners,Long Pass,1RB/1TE/3WR,-0.04,222,-6.77,4.48,20.18,,-2.34
Shotgun Normal Deep Weak In and Out,Long Pass,1RB/1TE/3WR,-0.36,2392,-8.8,3.67,30.86,0.75,-1.611
Shotgun 4 Wide WR Corner,Long Pass,1RB/4WR,-0.5,127,-11.3,10.85,20.93,,-1.962
Empty 4 Wide Spread Deep Corner Post,Long Pass,1TE/4WR,-0.51,458,-9.84,5.23,30.5,0.65,-1.29
I Formation Big Streak Heavy,Long Pass,2RB/2TE/1WR,-0.69,102,-10.92,1.94,44.66,,-0.553
Singleback Big WR Streaks,Long Pass,1RB/2TE/2WR,-0.72,939,-10.38,4.53,34.0,0.32,-1.97
Strong I Normal PA All Go,Long Pass,2RB/1TE/2WR,-0.77,557,-13.08,2.14,54.37,0.53,-2.172
I Formation 3WR HB Toss Strong,Outside Run,2RB/3WR,-1.25,4654,-1.5,0.0,0.0,0.08,-1.692
Singleback Normal FL Drag,Long Pass,1RB/1TE/3WR,-1.33,179,-12.82,1.67,51.11,,-2.219
Singleback Normal FL Go,Long Pass,1RB/1TE/3WR,-1.78,137,-13.15,3.62,44.2,1.45,-1.548
Singleback 4 Wide Deep Middle,Long Pass,1RB/4WR,-1.96,159,-14.47,7.5,38.12,,-1.238
Shotgun 2 RB 3 WR Strong Deep,Long Pass,2RB/3WR,-1.99,2358,-13.19,4.06,41.85,0.3,-1.922
Singleback Empty 4 TE Deep Out,Long Pass,1TE/4WR,-2.04,214,-12.35,3.24,39.81,,-2.283
I Formation Normal TE Out,Long Pass,2RB/1TE/2WR,-3.01,622,-16.04,2.21,55.52,0.63,-2.356
Weak I Normal All Go,Long Pass,2RB/1TE/2WR,-3.31,503,-16.72,1.76,58.43,,-2.399
Singleback Slot Strong All Go,Long Pass,1RB/1TE/3WR,-4.05,60,-17.19,0.0,61.67,1.67,-1.651
Shotgun Normal Hail Mary,Long Pass,1RB/1TE/3WR,-4.15,335,-20.17,2.08,69.73,0.3,-2.333
Shotgun 5 Wide 5 WR All Go,Long Pass,5WR,-4.73,207,-22.22,1.92,76.92,2.4,-2.725
